"idRefaccion","idClasificacion","pieza","modelo","unidad","costo","ultimo_costo","inventario_inicial","inventario_actual","equipo_armado_refacciones","inventario_fisico","faltante","rutaImagen","notas","estado","codigo","nombreCorto"
1,1,DISPENSADOR AGUA FRIA - TEMPLADA - PARA GARRAFON,Glacial,pieza,,,,,,,,,"Aunque las piezas puedan tener nombres iguales a los nombres de los equipos aca solo son refacciones, ya en algunos casos los equipos se forman con varias refacciones. FRÍA",0,"010-002",
2,2,DEPOSITO DE AGUA 4 L GA-PP (PURIKOR),PK-DEPOSITO4,"1",,,,,,,,,"DISPENSADOR, GRADO ALIMENTICIO. PK DEPOSITO P/4 LITROS PARA DISPENSADOR DE AGUA.",0,"008-008",
3,50,"SISTEMA OSMOSIS INVERSA CON PANTALLA INDICADORA, 5 FILTROS + LUZ UV",HG RO 100-6 UV,pieza,,,,,,,,,"Actualización de significado: Cuando se compra un equipo armado en factura se tiene que desmenuzar por filtros membranas etc, LO QUE QUEDA COMO SISTEMA SON LOS CONECTORES Y LA BASE.
SISTEMA OSMOSIS INVERSA 100 GPD CON PANTALLA INDICADORA, 5 FILTROS + LUZ ",0,"000-001",
4,34,FUENTE DE ALIMENTACION 120V AC/ 24 VDC 1A,S-25-24,"1",,,,,,,,,Switching Power Supply - METALICAS CONVIERTE DE 120 V A 24 VOLTS - SE USA PARA LA ELECTROVALVULA DEL DISPENSADOR DE AGUA,0,"002-016",
5,42,"SOLENOIDE 24V DC CM1/4""",FPD360A,"1",,,,,,,,,"CONEXION MANGUERA, ELECTROVALVULA",0,"002-064",
6,32,SENSOR CAPACITIVO CIRCULAR 12V,XKC-Y25-V 50cm,"1",,,,,,,,,SENSOR CIRCULAR - INTERRUTOR,0,,
7,4,CONECTOR FASTON 250 (AWG 22),TIPO PALA HEMBRA,"1",,,,,,,,,,0,"002-021",
8,4,CONECTOR HEMBRA JST XH2.54 ( 2 PIN ),XHP-2,"1",,,,,,,,,"Conector macho y hembra JST XH2.54, carcasa de cabezal de Pin, 2/3/100 Pines, enchufe de Terminal hembra, carcasas de plástico, 4/5 Uds.",0,"002-024",
9,0,CRIMPING TERMINAL 22 AWG FOR JST,SXH-001T-P0.6,pieza,,,,,,,,,,0,,
10,0,FITTING PASAMURO DE 1/4 X 1/4,CFT-W006,pieza,,,,,,,,,,1,,
11,5,BASE CIRCULAR FIJA DEL CASE SENSORES,SOPORTE,"1",,,,,,,,,PETG - idm,0,"009-015",
12,5,CASE DE SENSORES 12V CIRCULARES,"3D",pieza,,,,,,,,,"ES PARTE DEL ENSAMBLE DEL CONTROLADOR DE NIVEL DE AGUA, CUERPO DEL CASE SENSORES",0,,
13,0,TAPA INFERIOR CASE SENSORES,,pieza,,,,,,,,,,0,,
14,4,CONECTOR CABLE MACHO (PLUG INFERIOR CASE SENSORES),,"1",,,,,,,,,,0,"002-023",
15,5,TAPA FRONTAL CASE SENSORES,"3D",pieza,,,,,,,,,,0,,
16,0,SUJETADOR SUPERIOR DEL CASE SENSORES,,pieza,,,,,,,,,,0,,
17,5,CASE CONTROL DE NIVEL ARMADOS,IDM,pieza,,,,,,,,,"ES EL ESTUCHE O CAJA DE LA PLACA DE CONTROL O CONTROLADORA DE NIVEL, ",0,"009-014",
18,0,ENSAMBLE PLACA CONTROLADORA,,pieza,,,,,,,,,,0,,
19,6,TORNILLO PLANO AVELLANADO ALLEN INOX M3X10,XAPM03010,"1",,,,,,,,,,0,,
20,6,TORNILLO ALLEN CILINDRICO INOX CUERDA METRICA M3X16,XACM03016,"1",,,,,,,,,,0,,
21,0,TUERCA INOX M3,XNM03,pieza,,,,,,,,,,0,,
22,6,TORNILLO BOTON ALLEN INOX METRICA M3X10,XABM03010,"1",,,,,,,,,,0,,
23,8,"MANGUERA 1/4"" FITTING AZUL - PE ","607656","3",,,,,,,,,,0,"008-004",
24,0,CABLE AWG 22,,metro,,,,,,,,,,0,,
25,44,OZONIFICADOR 400MG,"301F","1",,,,,,,,,AMBOHR C-D 301F 24V 400MG LOW NOISE RESIDENTIAL AIR CLEANER OZONE GENERATOR,0,"002-057",
26,1,DISPENSADOR DE AGUA FRÍA - CALIENTE - SIN GARRAFON,HERESUF-20,pieza,,,,,,,,,"SIN GARRAFON, NO GARRAFON, AQUAMX, CONEXION DIRECTA",0,"010-003",
27,47,LAMPARA UV 24V 1W - HIDROGREEN,R-HG-UV-12W,"1",,,,,,,,,"LÁMPARA ULTRA VIOLETA DE 1 WATTS ÓSMOSIS- , ULTRAFILTRACIÓN Y FILTRACIÓN BÁSICA",0,"005-013",UV-12W
28,10,"FILTRO (T33) 10"" EN LINEA","607689","1",,,,,,,,,"CARTUCHO DE CARBÓN ACTIVADO GRANULAR EN LÍNEA, SIRVE PARA CAMBIAR EL SABOR DEL AGUA, PKCCAL2.5X10, ",0,"004-045","T33-10"""
29,10,"FILTRO (CTO) DE 2.5"" X 10"" - 5 MICRAS","607688","1",,,,,,,,,"CARTUCHO DE CARBÓN ACTIVADO BLOCK, PKCCTO2.5X10X5 ",0,"004-010","CTO-2.5*10"""
30,10,"FILTRO (GAC) DE 2.5"" X 10"" DE 5 MICRAS","607687","1",,,,,,,,,"CARTUCHO DE CARBÓN ACTIVADO GRANULAR, PKCGAC2.5X10, 607687",0,"004-003","GAC-2.5*10"""
31,10,"FILTRO 5 MICRAS (PP) DE 2.5"" X 10""","607686","1",,,,,,,,,"CARTUCHO , TERMOFUSIONADO, DE POLIPROPILENO, POLYSPUN",0,"004-012","PP-2.5*10"""
32,51,MEMBRANA 100 GPD - 2012,"607674","1",,,,,,,,,"PARA SISTEMAS ÓSMOSIS INVERSA, RESIDENCIAL, HG-M100G 330 MM LARGO, 607675",0,"004-031",MEM-100
33,20,"GRIFO TIPO EMPUJE AGUA FRIA, ROSCA HEMBRA",,"1",,,,,,,,,LLAVE DE PLASTICO ,0,"001-039",
34,20,"GRIFO TIPO EMPUJE AGUA TEMPLADA, DISPENSADOR GLACIAL",,pieza,,,,,,,,,LLAVE DE PLASTICO ,0,,
35,20,"GRIFO TIPO EMPUJE AGUA CALIENTE, ROSCA HEMBRA",,"1",,,,,,,,,LLAVE DE PLASTICO,0,"001-038",
36,12,BOMBA DE AGUA 260F 12V,"385 - 14150","1",,,,,,,,,,0,"003-007",
37,34,FUENTE DE ALIMENTACION 120V AC/ 12 VDC - 2.5A,"12V2.5A","1",,,,,,,,,ADAPTADOR DE VOLTAJE DC MKS 120250US36 2.5A 12V,0,,
38,18,CODO 2RM 1/4 - PLASTICO,"2 VIAS",pieza,,,,,,,,,"RM=ROSCA MACHO, ROSCA EXTERIOR.",0,,
39,0,CAJA PARA CANALETA UNIVERSAL,,pieza,,,,,,,,,,0,,
40,4,CONTACTO DOBLE CON TIERRA ATERRIZADO,"46103","1",,,,,,,,,SCDV H87 ECOSODA H87,0,"002-013",
41,19,"CONECTOR CM 1/4"" A CM 3/8"" LINEAL - PLASTICO","2 VIAS","1",,,,,,,,,"CONECTOR CM 1/4"" A CM 3/8"" LINEAL - PLASTICO",0,"001-053",
42,9,CABLE CORDON POT 2*14,TCDU1450H87,"3",,,,,,,,,"CABLE DOBLE, DOS LINEAS",0,"002-095",
43,0,PLACA DUPLEX MARFIL,,pieza,,,,,,,,,,0,,
44,55,SERVICIO,,"10",,,,,,,,,,0,,
45,13,TANQUE PRESURIZADO 12 LITROS - ACERO,"607673","1",,,,,,,,,"TANQUE DE ALMACENAMIENTO DE AGUA, TANQUE P/RO 3.2G METALICO
R-PK-T-3.2G",0,"007-006",
46,0,GRIFO DE ENFRIADOR AGUA,,pieza,,,,,,,,,,0,,
47,55,PIEDRA POROSA DE BURBUJA DE AIRE PARA OZONO GRIS,"","1",,,,,,,,,PIEDRA POROSA DE BURBUJA DE AIRE PARA OZONO,0,"002-028",
